 # Cs4 Pb4 I12
 
        1920  atoms
           3  atom types
 
      0.00000000      29.27228250  xlo xhi
      0.00000000      43.24763504  ylo yhi
      0.00000000      72.85269668  zlo zhi
 
Masses
 
1	132.90545190	0.0	132.90545190	#	Cs
2	207.20000000	0.0	207.20000000	#	Pb
3	126.90447000	0.0	126.90447000	#	I
 
Atoms # atomic
 
1	1	0.0	3.65903531	6.28827101	3.13636323
2	1	0.0	1.21967844	4.52363775	15.07681094
3	1	0.0	3.65903531	0.88231663	5.97022385
4	1	0.0	1.21967844	9.92959213	12.24295032
5	2	0.0	1.21967844	7.14906112	7.99933537
6	2	0.0	3.65903531	3.66284764	10.21383880
7	2	0.0	1.21967844	1.74310674	1.10725171
8	2	0.0	3.65903531	9.06880202	17.10592246
9	3	0.0	3.65903531	9.04115597	9.11758784
10	3	0.0	1.21967844	1.77075279	9.09558633
11	3	0.0	3.65903531	3.63520159	18.20217341
12	3	0.0	1.21967844	7.17670717	0.01100076
13	3	0.0	1.21967844	5.71614804	11.13999692
14	3	0.0	3.65903531	5.09576072	7.07317725
15	3	0.0	1.21967844	0.31019366	16.17976434
16	3	0.0	3.65903531	10.50171510	2.03340983
17	3	0.0	1.21967844	8.61952396	5.25404542
18	3	0.0	3.65903531	2.19238480	12.95912875
19	3	0.0	1.21967844	3.21356958	3.85254167
20	3	0.0	3.65903531	7.59833918	14.36063250
21	1	0.0	8.53774906	6.28827101	3.13636323
22	1	0.0	6.09839219	4.52363775	15.07681094
23	1	0.0	8.53774906	0.88231663	5.97022385
24	1	0.0	6.09839219	9.92959213	12.24295032
25	2	0.0	6.09839219	7.14906112	7.99933537
26	2	0.0	8.53774906	3.66284764	10.21383880
27	2	0.0	6.09839219	1.74310674	1.10725171
28	2	0.0	8.53774906	9.06880202	17.10592246
29	3	0.0	8.53774906	9.04115597	9.11758784
30	3	0.0	6.09839219	1.77075279	9.09558633
31	3	0.0	8.53774906	3.63520159	18.20217341
32	3	0.0	6.09839219	7.17670717	0.01100076
33	3	0.0	6.09839219	5.71614804	11.13999692
34	3	0.0	8.53774906	5.09576072	7.07317725
35	3	0.0	6.09839219	0.31019366	16.17976434
36	3	0.0	8.53774906	10.50171510	2.03340983
37	3	0.0	6.09839219	8.61952396	5.25404542
38	3	0.0	8.53774906	2.19238480	12.95912875
39	3	0.0	6.09839219	3.21356958	3.85254167
40	3	0.0	8.53774906	7.59833918	14.36063250
41	1	0.0	13.41646281	6.28827101	3.13636323
42	1	0.0	10.97710594	4.52363775	15.07681094
43	1	0.0	13.41646281	0.88231663	5.97022385
44	1	0.0	10.97710594	9.92959213	12.24295032
45	2	0.0	10.97710594	7.14906112	7.99933537
46	2	0.0	13.41646281	3.66284764	10.21383880
47	2	0.0	10.97710594	1.74310674	1.10725171
48	2	0.0	13.41646281	9.06880202	17.10592246
49	3	0.0	13.41646281	9.04115597	9.11758784
50	3	0.0	10.97710594	1.77075279	9.09558633
51	3	0.0	13.41646281	3.63520159	18.20217341
52	3	0.0	10.97710594	7.17670717	0.01100076
53	3	0.0	10.97710594	5.71614804	11.13999692
54	3	0.0	13.41646281	5.09576072	7.07317725
55	3	0.0	10.97710594	0.31019366	16.17976434
56	3	0.0	13.41646281	10.50171510	2.03340983
57	3	0.0	10.97710594	8.61952396	5.25404542
58	3	0.0	13.41646281	2.19238480	12.95912875
59	3	0.0	10.97710594	3.21356958	3.85254167
60	3	0.0	13.41646281	7.59833918	14.36063250
61	1	0.0	18.29517656	6.28827101	3.13636323
62	1	0.0	15.85581969	4.52363775	15.07681094
63	1	0.0	18.29517656	0.88231663	5.97022385
64	1	0.0	15.85581969	9.92959213	12.24295032
65	2	0.0	15.85581969	7.14906112	7.99933537
66	2	0.0	18.29517656	3.66284764	10.21383880
